debate,debater_id,total_soft_score,debater,rank
1,2,4.333333333333333,DEBATER_2,1
1,3,4.066666666666666,DEBATER_3,2
1,1,2.7555555555555555,DEBATER_1,3
1,4,2.7555555555555555,DEBATER_4,3
2,5,4.681818181818182,DEBATER_5,1
2,4,4.133333333333334,DEBATER_4,2
2,3,3.0,DEBATER_3,3
2,1,2.688888888888889,DEBATER_1,4
2,2,2.6,DEBATER_2,5
3,3,4.044444444444444,DEBATER_3,1
3,4,3.933333333333333,DEBATER_4,2
3,1,3.7111111111111112,DEBATER_1,3
3,5,3.2222222222222223,DEBATER_5,4
3,2,3.111111111111111,DEBATER_2,5
5,5,3.488888888888889,DEBATER_5,1
5,3,3.0,DEBATER_3,2
5,4,2.933333333333333,DEBATER_4,3
5,2,2.311111111111111,DEBATER_2,4
5,1,2.2,DEBATER_1,5
6,1,4.266666666666667,DEBATER_1,1
6,3,3.7333333333333334,DEBATER_3,2
6,2,3.2888888888888888,DEBATER_2,3
6,4,2.2888888888888888,DEBATER_4,4
7,3,3.311111111111111,DEBATER_3,1
7,2,3.1333333333333333,DEBATER_2,2
7,4,2.9318181818181817,DEBATER_4,3
7,1,2.022222222222222,DEBATER_1,4
8,1,3.511111111111111,DEBATER_1,1
8,2,3.2888888888888888,DEBATER_2,2
8,3,2.933333333333333,DEBATER_3,3
9,1,4.644444444444445,DEBATER_1,1
9,4,4.4222222222222225,DEBATER_4,2
9,2,4.088888888888889,DEBATER_2,3
9,3,1.8666666666666667,DEBATER_3,4
10,4,4.844444444444444,DEBATER_4,1
10,2,4.666666666666667,DEBATER_2,2
10,1,4.355555555555555,DEBATER_1,3
10,3,3.6,DEBATER_3,4
11,5,4.590909090909091,DEBATER_5,1
11,3,4.444444444444445,DEBATER_3,2
11,1,4.044444444444444,DEBATER_1,3
11,2,3.7333333333333334,DEBATER_2,4
11,4,2.7111111111111112,DEBATER_4,5
12,3,4.533333333333333,DEBATER_3,1
12,4,4.488888888888889,DEBATER_4,2
12,1,3.3777777777777778,DEBATER_1,3
12,2,3.1555555555555554,DEBATER_2,4
13,3,4.533333333333333,DEBATER_3,1
13,2,4.155555555555556,DEBATER_2,2
13,1,3.422222222222222,DEBATER_1,3
14,2,4.044444444444444,DEBATER_2,1
14,5,3.7555555555555555,DEBATER_5,2
14,4,3.3333333333333335,DEBATER_4,3
14,3,2.6666666666666665,DEBATER_3,4
14,1,2.311111111111111,DEBATER_1,5
16,3,3.688888888888889,DEBATER_3,1
16,5,3.2777777777777777,DEBATER_5,2
16,2,2.6666666666666665,DEBATER_2,3
16,4,2.466666666666667,DEBATER_4,4
16,1,2.2,DEBATER_1,5
17,2,4.022222222222222,DEBATER_2,1
17,3,3.688888888888889,DEBATER_3,2
17,4,3.311111111111111,DEBATER_4,3
17,1,3.0,DEBATER_1,4
18,2,4.488888888888889,DEBATER_2,1
18,3,4.288888888888889,DEBATER_3,2
18,1,4.2444444444444445,DEBATER_1,3
18,4,3.888888888888889,DEBATER_4,4
